--------------------------------------------------
Marvellous Infosystem Process Log
Log file is created at : Wed Jun 18 08:46:05 2025
--------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375} 
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.08203125} 
{'pid': 236, 'username': None, 'name': '', 'vms': 0.16796875} 
{'pid': 280, 'username': None, 'name': 'Registry', 'vms': 11.3828125} 
{'pid': 504, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'Code.exe', 'vms': 82.421875} 
{'pid': 516, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'StartMenuExperienceHost.exe', 'vms': 83.25390625} 
{'pid': 520, 'username': None, 'name': 'winlogon.exe', 'vms': 2.6484375} 
{'pid': 592, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'conhost.exe', 'vms': 1.34765625} 
{'pid': 712, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'UserOOBEBroker.exe', 'vms': 1.7265625} 
{'pid': 864, 'username': None, 'name': 'smss.exe', 'vms': 1.14453125} 
{'pid': 880, 'username': None, 'name': 'svchost.exe', 'vms': 2.05078125} 
{'pid': 1260, 'username': None, 'name': 'svchost.exe', 'vms': 2.3203125} 
{'pid': 1272, 'username': None, 'name': 'csrss.exe', 'vms': 2.74609375} 
{'pid': 1392, 'username': None, 'name': 'wininit.exe', 'vms': 1.73046875} 
{'pid': 1460, 'username': None, 'name': 'services.exe', 'vms': 7.11328125} 
{'pid': 1480, 'username': None, 'name': 'LsaIso.exe', 'vms': 1.82421875} 
{'pid': 1488, 'username': None, 'name': 'lsass.exe', 'vms': 12.84765625} 
{'pid': 1616, 'username': None, 'name': 'svchost.exe', 'vms': 7.30859375} 
{'pid': 1620, 'username': None, 'name': 'svchost.exe', 'vms': 1.234375} 
{'pid': 1680, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'msedge.exe', 'vms': 22.12890625} 
{'pid': 1704, 'username': None, 'name': 'svchost.exe', 'vms': 18.1796875} 
{'pid': 1716, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'Code.exe', 'vms': 10.6953125} 
{'pid': 1736, 'username': None, 'name': 'WUDFHost.exe', 'vms': 2.625} 
{'pid': 1744, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.90234375} 
{'pid': 1756, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'python.exe', 'vms': 43.58203125} 
{'pid': 1768, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'ShellExperienceHost.exe', 'vms': 51.0625} 
{'pid': 1868, 'username': None, 'name': 'svchost.exe', 'vms': 11.109375} 
{'pid': 1888, 'username': None, 'name': 'svchost.exe', 'vms': 12.3984375} 
{'pid': 1928, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'SystemSettings.exe', 'vms': 146.9765625} 
{'pid': 1932, 'username': None, 'name': 'svchost.exe', 'vms': 3.5546875} 
{'pid': 1968, 'username': None, 'name': 'WUDFHost.exe', 'vms': 9.74609375} 
{'pid': 1988, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'ShellHost.exe', 'vms': 41.828125} 
{'pid': 2128, 'username': None, 'name': 'svchost.exe', 'vms': 3.90234375} 
{'pid': 2156, 'username': None, 'name': 'svchost.exe', 'vms': 2.43359375} 
{'pid': 2164, 'username': None, 'name': 'svchost.exe', 'vms': 3.234375} 
{'pid': 2172, 'username': None, 'name': 'svchost.exe', 'vms': 2.6171875} 
{'pid': 2180, 'username': None, 'name': 'svchost.exe', 'vms': 2.73828125} 
{'pid': 2272, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'nvcontainer.exe', 'vms': 23.47265625} 
{'pid': 2284, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.51953125} 
{'pid': 2316, 'username': None, 'name': 'svchost.exe', 'vms': 3.55078125} 
{'pid': 2352, 'username': None, 'name': 'svchost.exe', 'vms': 2.1953125} 
{'pid': 2448, 'username': None, 'name': 'svchost.exe', 'vms': 6.47265625} 
{'pid': 2464, 'username': None, 'name': 'svchost.exe', 'vms': 6.9375} 
{'pid': 2488, 'username': None, 'name': 'svchost.exe', 'vms': 2.203125} 
{'pid': 2700, 'username': None, 'name': 'svchost.exe', 'vms': 3.8203125} 
{'pid': 2744, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'FileCoAuth.exe', 'vms': 5.83984375} 
{'pid': 2808, 'username': None, 'name': 'svchost.exe', 'vms': 3.0625} 
{'pid': 3016, 'username': None, 'name': 'svchost.exe', 'vms': 1.890625} 
{'pid': 3028, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'msedgewebview2.exe', 'vms': 2.29296875} 
{'pid': 3112, 'username': None, 'name': 'svchost.exe', 'vms': 6.2578125} 
{'pid': 3148, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 37.30859375} 
{'pid': 3228, 'username': None, 'name': 'WUDFHost.exe', 'vms': 2.0078125} 
{'pid': 3252, 'username': None, 'name': 'svchost.exe', 'vms': 15.60546875} 
{'pid': 3284, 'username': None, 'name': 'svchost.exe', 'vms': 36.62890625} 
{'pid': 3292, 'username': 'LAPTOP-ECMIU6EK\\shail', 'name': 'smartscreen.exe', 'vms': 2.77734375} 
{'pid': 3340, 'username': None, 'name': 'svchost.exe', 'vms': 2.57421875} 
{'pid': 3356, 'username': None, 'name': 'svchost.exe', 'vms': 3.3359375} 
{'pid': 3364, 'username': None, 'name': 'svchost.exe', 'vms': 1.515625} 
{'pid': 3372, 'username': None, 'name': 'svchost.exe', 'vms': 2.13671875} 
{'pid': 3480, 'username': None, 'name': 'WUDFHost.exe', 'vms': 5.1171875} 
{'pid': 3600, 'username': None, 'name': 'svchost.exe', 'vms': 2.09375} 
{'pid': 3620, 'username': None, 'name': 'MemCompression', 'vms': 1.26171875} 
{'pid': 3672, 'username': None, 'name': 'svchost.exe', 'vms': 4.015625} 
